HeartRate,BreathRate,Motion Level
77,19,8
77,19,8
77,19,4
77,19,4
74,19,4
74,19,4
74,19,3
74,19,3
74,20,3
74,20,3
74,20,3
74,20,3
74,20,2
74,20,2
77,20,2
77,20,3
77,20,3
77,20,3
77,20,2
77,20,2
77,20,5
77,20,5
79,20,5
79,20,4
79,20,4
79,21,4
79,21,6
79,21,6
79,21,2
79,21,2
79,21,2
79,21,2
79,21,2
79,22,2
79,22,7
79,22,7
79,22,9
79,22,9
79,22,9
79,22,5
79,22,5
79,22,5
79,22,5
79,22,1
79,22,1
79,22,1
79,22,3
79,22,3
79,22,3
79,22,8
